Status,Title,Solution,Acceptance,Difficulty,Frequency,prob_url
,108. Convert Sorted Array to Binary Search Tree,,69.7%,Easy,,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/solution
,110. Balanced Binary Tree,,48.9%,Easy,,https://leetcode.com/problems/balanced-binary-tree/solution
,111. Minimum Depth of Binary Tree,,44.3%,Easy,,https://leetcode.com/problems/minimum-depth-of-binary-tree/solution
,112. Path Sum,,48.2%,Easy,,https://leetcode.com/problems/path-sum/solution
,118. Pascal's Triangle,,70.6%,Easy,,https://leetcode.com/problems/pascals-triangle/solution
,119. Pascal's Triangle II,,60.6%,Easy,,https://leetcode.com/problems/pascals-triangle-ii/solution
,121. Best Time to Buy and Sell Stock,,54.3%,Easy,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/solution
,125. Valid Palindrome,,44.3%,Easy,,https://leetcode.com/problems/valid-palindrome/solution
,136. Single Number,,70.6%,Easy,,https://leetcode.com/problems/single-number/solution
,141. Linked List Cycle,,47.4%,Easy,,https://leetcode.com/problems/linked-list-cycle/solution
,144. Binary Tree Preorder Traversal,,66.7%,Easy,,https://leetcode.com/problems/binary-tree-preorder-traversal/solution
,145. Binary Tree Postorder Traversal,,67.8%,Easy,,https://leetcode.com/problems/binary-tree-postorder-traversal/solution
,157. Read N Characters Given Read4,,40.9%,Easy,,https://leetcode.com/problems/read-n-characters-given-read4/solution
,160. Intersection of Two Linked Lists,,54.2%,Easy,,https://leetcode.com/problems/intersection-of-two-linked-lists/solution
,163. Missing Ranges,,32.2%,Easy,,https://leetcode.com/problems/missing-ranges/solution
,169. Majority Element,,63.9%,Easy,,https://leetcode.com/problems/majority-element/solution
,170. Two Sum III - Data structure design,,37.4%,Easy,,https://leetcode.com/problems/two-sum-iii-data-structure-design/solution
,171. Excel Sheet Column Number,,62.0%,Easy,,https://leetcode.com/problems/excel-sheet-column-number/solution
,190. Reverse Bits,,53.8%,Easy,,https://leetcode.com/problems/reverse-bits/solution
,191. Number of 1 Bits,,66.4%,Easy,,https://leetcode.com/problems/number-of-1-bits/solution
,202. Happy Number,,54.8%,Easy,,https://leetcode.com/problems/happy-number/solution
,203. Remove Linked List Elements,,45.8%,Easy,,https://leetcode.com/problems/remove-linked-list-elements/solution
,205. Isomorphic Strings,,42.8%,Easy,,https://leetcode.com/problems/isomorphic-strings/solution
,206. Reverse Linked List,,73.4%,Easy,,https://leetcode.com/problems/reverse-linked-list/solution
,217. Contains Duplicate,,61.4%,Easy,,https://leetcode.com/problems/contains-duplicate/solution
,219. Contains Duplicate II,,42.5%,Easy,,https://leetcode.com/problems/contains-duplicate-ii/solution
,225. Implement Stack using Queues,,58.5%,Easy,,https://leetcode.com/problems/implement-stack-using-queues/solution
,226. Invert Binary Tree,,74.6%,Easy,,https://leetcode.com/problems/invert-binary-tree/solution
,228. Summary Ranges,,47.2%,Easy,,https://leetcode.com/problems/summary-ranges/solution
,231. Power of Two,,46.0%,Easy,,https://leetcode.com/problems/power-of-two/solution
,232. Implement Queue using Stacks,,63.1%,Easy,,https://leetcode.com/problems/implement-queue-using-stacks/solution
,234. Palindrome Linked List,,50.1%,Easy,,https://leetcode.com/problems/palindrome-linked-list/solution
,242. Valid Anagram,,63.0%,Easy,,https://leetcode.com/problems/valid-anagram/solution
,243. Shortest Word Distance,,65.0%,Easy,,https://leetcode.com/problems/shortest-word-distance/solution
,246. Strobogrammatic Number,,47.7%,Easy,,https://leetcode.com/problems/strobogrammatic-number/solution
,252. Meeting Rooms,,57.2%,Easy,,https://leetcode.com/problems/meeting-rooms/solution
,257. Binary Tree Paths,,61.3%,Easy,,https://leetcode.com/problems/binary-tree-paths/solution
,258. Add Digits,,63.9%,Easy,,https://leetcode.com/problems/add-digits/solution
,263. Ugly Number,,42.3%,Easy,,https://leetcode.com/problems/ugly-number/solution
,266. Palindrome Permutation,,66.0%,Easy,,https://leetcode.com/problems/palindrome-permutation/solution
,268. Missing Number,,62.4%,Easy,,https://leetcode.com/problems/missing-number/solution
,270. Closest Binary Search Tree Value,,54.7%,Easy,,https://leetcode.com/problems/closest-binary-search-tree-value/solution
,278. First Bad Version,,43.3%,Easy,,https://leetcode.com/problems/first-bad-version/solution
,283. Move Zeroes,,61.4%,Easy,,https://leetcode.com/problems/move-zeroes/solution
,290. Word Pattern,,41.7%,Easy,,https://leetcode.com/problems/word-pattern/solution
,292. Nim Game,,56.1%,Easy,,https://leetcode.com/problems/nim-game/solution
,303. Range Sum Query - Immutable,,59.3%,Easy,,https://leetcode.com/problems/range-sum-query-immutable/solution
,326. Power of Three,,45.5%,Easy,,https://leetcode.com/problems/power-of-three/solution
,338. Counting Bits,,75.7%,Easy,,https://leetcode.com/problems/counting-bits/solution
,342. Power of Four,,46.1%,Easy,,https://leetcode.com/problems/power-of-four/solution
,344. Reverse String,,76.7%,Easy,,https://leetcode.com/problems/reverse-string/solution
,345. Reverse Vowels of a String,,50.0%,Easy,,https://leetcode.com/problems/reverse-vowels-of-a-string/solution
,346. Moving Average from Data Stream,,77.1%,Easy,,https://leetcode.com/problems/moving-average-from-data-stream/solution
,349. Intersection of Two Arrays,,70.9%,Easy,,https://leetcode.com/problems/intersection-of-two-arrays/solution
,350. Intersection of Two Arrays II,,55.9%,Easy,,https://leetcode.com/problems/intersection-of-two-arrays-ii/solution
,359. Logger Rate Limiter,,75.6%,Easy,,https://leetcode.com/problems/logger-rate-limiter/solution
,367. Valid Perfect Square,,43.3%,Easy,,https://leetcode.com/problems/valid-perfect-square/solution
,374. Guess Number Higher or Lower,,51.8%,Easy,,https://leetcode.com/problems/guess-number-higher-or-lower/solution
,383. Ransom Note,,58.2%,Easy,,https://leetcode.com/problems/ransom-note/solution
,387. First Unique Character in a String,,59.5%,Easy,,https://leetcode.com/problems/first-unique-character-in-a-string/solution
,389. Find the Difference,,60.0%,Easy,,https://leetcode.com/problems/find-the-difference/solution
,392. Is Subsequence,,47.7%,Easy,,https://leetcode.com/problems/is-subsequence/solution
,404. Sum of Left Leaves,,56.7%,Easy,,https://leetcode.com/problems/sum-of-left-leaves/solution
,409. Longest Palindrome,,54.3%,Easy,,https://leetcode.com/problems/longest-palindrome/solution
,412. Fizz Buzz,,69.8%,Easy,,https://leetcode.com/problems/fizz-buzz/solution
,414. Third Maximum Number,,33.1%,Easy,,https://leetcode.com/problems/third-maximum-number/solution
,415. Add Strings,,52.5%,Easy,,https://leetcode.com/problems/add-strings/solution
,422. Valid Word Square,,39.9%,Easy,,https://leetcode.com/problems/valid-word-square/solution
,434. Number of Segments in a String,,37.2%,Easy,,https://leetcode.com/problems/number-of-segments-in-a-string/solution
,441. Arranging Coins,,46.2%,Easy,,https://leetcode.com/problems/arranging-coins/solution
,448. Find All Numbers Disappeared in an Array,,59.9%,Easy,,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/solution
,459. Repeated Substring Pattern,,43.7%,Easy,,https://leetcode.com/problems/repeated-substring-pattern/solution
,461. Hamming Distance,,75.0%,Easy,,https://leetcode.com/problems/hamming-distance/solution
,463. Island Perimeter,,69.7%,Easy,,https://leetcode.com/problems/island-perimeter/solution
,476. Number Complement,,67.3%,Easy,,https://leetcode.com/problems/number-complement/solution
,482. License Key Formatting,,43.3%,Easy,,https://leetcode.com/problems/license-key-formatting/solution
,485. Max Consecutive Ones,,56.5%,Easy,,https://leetcode.com/problems/max-consecutive-ones/solution
,495. Teemo Attacking,,56.9%,Easy,,https://leetcode.com/problems/teemo-attacking/solution
,496. Next Greater Element I,,71.5%,Easy,,https://leetcode.com/problems/next-greater-element-i/solution
,507. Perfect Number,,37.7%,Easy,,https://leetcode.com/problems/perfect-number/solution
,520. Detect Capital,,57.0%,Easy,,https://leetcode.com/problems/detect-capital/solution
,521. Longest Uncommon Subsequence I,,60.3%,Easy,,https://leetcode.com/problems/longest-uncommon-subsequence-i/solution
,541. Reverse String II,,50.5%,Easy,,https://leetcode.com/problems/reverse-string-ii/solution
,543. Diameter of Binary Tree,,56.7%,Easy,,https://leetcode.com/problems/diameter-of-binary-tree/solution
,551. Student Attendance Record I,,48.2%,Easy,,https://leetcode.com/problems/student-attendance-record-i/solution
,557. Reverse Words in a String III,,81.9%,Easy,,https://leetcode.com/problems/reverse-words-in-a-string-iii/solution
,561. Array Partition,,77.1%,Easy,,https://leetcode.com/problems/array-partition/solution
,563. Binary Tree Tilt,,59.9%,Easy,,https://leetcode.com/problems/binary-tree-tilt/solution
,566. Reshape the Matrix,,62.8%,Easy,,https://leetcode.com/problems/reshape-the-matrix/solution
,572. Subtree of Another Tree,,46.3%,Easy,,https://leetcode.com/problems/subtree-of-another-tree/solution
,575. Distribute Candies,,66.4%,Easy,,https://leetcode.com/problems/distribute-candies/solution
,594. Longest Harmonious Subsequence,,53.5%,Easy,,https://leetcode.com/problems/longest-harmonious-subsequence/solution
,598. Range Addition II,,55.3%,Easy,,https://leetcode.com/problems/range-addition-ii/solution
,599. Minimum Index Sum of Two Lists,,53.3%,Easy,,https://leetcode.com/problems/minimum-index-sum-of-two-lists/solution
,604. Design Compressed String Iterator,,39.5%,Easy,,https://leetcode.com/problems/design-compressed-string-iterator/solution
,605. Can Place Flowers,,32.5%,Easy,,https://leetcode.com/problems/can-place-flowers/solution
,606. Construct String from Binary Tree,,64.0%,Easy,,https://leetcode.com/problems/construct-string-from-binary-tree/solution
,617. Merge Two Binary Trees,,78.6%,Easy,,https://leetcode.com/problems/merge-two-binary-trees/solution
,628. Maximum Product of Three Numbers,,46.0%,Easy,,https://leetcode.com/problems/maximum-product-of-three-numbers/solution
,637. Average of Levels in Binary Tree,,71.8%,Easy,,https://leetcode.com/problems/average-of-levels-in-binary-tree/solution
,643. Maximum Average Subarray I,,43.7%,Easy,,https://leetcode.com/problems/maximum-average-subarray-i/solution
,645. Set Mismatch,,42.8%,Easy,,https://leetcode.com/problems/set-mismatch/solution
,653. Two Sum IV - Input is a BST,,61.0%,Easy,,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/solution
,657. Robot Return to Origin,,75.3%,Easy,,https://leetcode.com/problems/robot-return-to-origin/solution
,661. Image Smoother,,55.4%,Easy,,https://leetcode.com/problems/image-smoother/solution
,671. Second Minimum Node In a Binary Tree,,44.1%,Easy,,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree/solution
,674. Longest Continuous Increasing Subsequence,,49.3%,Easy,,https://leetcode.com/problems/longest-continuous-increasing-subsequence/solution
,680. Valid Palindrome II,,39.3%,Easy,,https://leetcode.com/problems/valid-palindrome-ii/solution
,682. Baseball Game,,74.2%,Easy,,https://leetcode.com/problems/baseball-game/solution
,693. Binary Number with Alternating Bits,,61.6%,Easy,,https://leetcode.com/problems/binary-number-with-alternating-bits/solution
,696. Count Binary Substrings,,65.6%,Easy,,https://leetcode.com/problems/count-binary-substrings/solution
,697. Degree of an Array,,55.9%,Easy,,https://leetcode.com/problems/degree-of-an-array/solution
,724. Find Pivot Index,,54.5%,Easy,,https://leetcode.com/problems/find-pivot-index/solution
,728. Self Dividing Numbers,,77.8%,Easy,,https://leetcode.com/problems/self-dividing-numbers/solution
,733. Flood Fill,,61.8%,Easy,,https://leetcode.com/problems/flood-fill/solution
,734. Sentence Similarity,,44.0%,Easy,,https://leetcode.com/problems/sentence-similarity/solution
,709. To Lower Case,,82.3%,Easy,,https://leetcode.com/problems/to-lower-case/solution
,744. Find Smallest Letter Greater Than Target,,45.6%,Easy,,https://leetcode.com/problems/find-smallest-letter-greater-than-target/solution
,746. Min Cost Climbing Stairs,,63.1%,Easy,,https://leetcode.com/problems/min-cost-climbing-stairs/solution
,760. Find Anagram Mappings,,82.9%,Easy,,https://leetcode.com/problems/find-anagram-mappings/solution
,762. Prime Number of Set Bits in Binary Representation,,68.0%,Easy,,https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation/solution
,559. Maximum Depth of N-ary Tree,,71.7%,Easy,,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/solution
,589. N-ary Tree Preorder Traversal,,75.9%,Easy,,https://leetcode.com/problems/n-ary-tree-preorder-traversal/solution
,590. N-ary Tree Postorder Traversal,,77.4%,Easy,,https://leetcode.com/problems/n-ary-tree-postorder-traversal/solution
,766. Toeplitz Matrix,,68.7%,Easy,,https://leetcode.com/problems/toeplitz-matrix/solution
,771. Jewels and Stones,,88.2%,Easy,,https://leetcode.com/problems/jewels-and-stones/solution
,700. Search in a Binary Search Tree,,77.6%,Easy,,https://leetcode.com/problems/search-in-a-binary-search-tree/solution
,703. Kth Largest Element in a Stream,,55.5%,Easy,,https://leetcode.com/problems/kth-largest-element-in-a-stream/solution
,704. Binary Search,,55.4%,Easy,,https://leetcode.com/problems/binary-search/solution
,783. Minimum Distance Between BST Nodes,,59.3%,Easy,,https://leetcode.com/problems/minimum-distance-between-bst-nodes/solution
,796. Rotate String,,55.1%,Easy,,https://leetcode.com/problems/rotate-string/solution
,705. Design HashSet,,65.6%,Easy,,https://leetcode.com/problems/design-hashset/solution
,706. Design HashMap,,64.7%,Easy,,https://leetcode.com/problems/design-hashmap/solution
,800. Similar RGB Color,,67.0%,Easy,,https://leetcode.com/problems/similar-rgb-color/solution
,804. Unique Morse Code Words,,82.6%,Easy,,https://leetcode.com/problems/unique-morse-code-words/solution
,806. Number of Lines To Write String,,66.6%,Easy,,https://leetcode.com/problems/number-of-lines-to-write-string/solution
,819. Most Common Word,,44.8%,Easy,,https://leetcode.com/problems/most-common-word/solution
,821. Shortest Distance to a Character,,71.3%,Easy,,https://leetcode.com/problems/shortest-distance-to-a-character/solution
,830. Positions of Large Groups,,51.8%,Easy,,https://leetcode.com/problems/positions-of-large-groups/solution
,832. Flipping an Image,,80.7%,Easy,,https://leetcode.com/problems/flipping-an-image/solution
,836. Rectangle Overlap,,43.9%,Easy,,https://leetcode.com/problems/rectangle-overlap/solution
,844. Backspace String Compare,,48.0%,Easy,,https://leetcode.com/problems/backspace-string-compare/solution
,859. Buddy Strings,,29.2%,Easy,,https://leetcode.com/problems/buddy-strings/solution
,860. Lemonade Change,,52.9%,Easy,,https://leetcode.com/problems/lemonade-change/solution
,867. Transpose Matrix,,64.1%,Easy,,https://leetcode.com/problems/transpose-matrix/solution
,868. Binary Gap,,62.2%,Easy,,https://leetcode.com/problems/binary-gap/solution
,872. Leaf-Similar Trees,,67.6%,Easy,,https://leetcode.com/problems/leaf-similar-trees/solution
,876. Middle of the Linked List,,75.5%,Easy,,https://leetcode.com/problems/middle-of-the-linked-list/solution
,883. Projection Area of 3D Shapes,,71.2%,Easy,,https://leetcode.com/problems/projection-area-of-3d-shapes/solution
,884. Uncommon Words from Two Sentences,,66.3%,Easy,,https://leetcode.com/problems/uncommon-words-from-two-sentences/solution
,888. Fair Candy Swap,,60.7%,Easy,,https://leetcode.com/problems/fair-candy-swap/solution
,896. Monotonic Array,,58.4%,Easy,,https://leetcode.com/problems/monotonic-array/solution
,897. Increasing Order Search Tree,,78.5%,Easy,,https://leetcode.com/problems/increasing-order-search-tree/solution
,905. Sort Array By Parity,,75.6%,Easy,,https://leetcode.com/problems/sort-array-by-parity/solution
,914. X of a Kind in a Deck of Cards,,31.3%,Easy,,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/solution
,917. Reverse Only Letters,,61.9%,Easy,,https://leetcode.com/problems/reverse-only-letters/solution
,922. Sort Array By Parity II,,70.7%,Easy,,https://leetcode.com/problems/sort-array-by-parity-ii/solution
,929. Unique Email Addresses,,67.1%,Easy,,https://leetcode.com/problems/unique-email-addresses/solution
,933. Number of Recent Calls,,73.2%,Easy,,https://leetcode.com/problems/number-of-recent-calls/solution
,938. Range Sum of BST,,85.9%,Easy,,https://leetcode.com/problems/range-sum-of-bst/solution
,941. Valid Mountain Array,,33.4%,Easy,,https://leetcode.com/problems/valid-mountain-array/solution
,942. DI String Match,,77.3%,Easy,,https://leetcode.com/problems/di-string-match/solution
,944. Delete Columns to Make Sorted,,74.8%,Easy,,https://leetcode.com/problems/delete-columns-to-make-sorted/solution
,953. Verifying an Alien Dictionary,,54.5%,Easy,,https://leetcode.com/problems/verifying-an-alien-dictionary/solution
,961. N-Repeated Element in Size 2N Array,,76.0%,Easy,,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/solution
,965. Univalued Binary Tree,,69.6%,Easy,,https://leetcode.com/problems/univalued-binary-tree/solution
,509. Fibonacci Number,,69.8%,Easy,,https://leetcode.com/problems/fibonacci-number/solution
,976. Largest Perimeter Triangle,,54.6%,Easy,,https://leetcode.com/problems/largest-perimeter-triangle/solution
,977. Squares of a Sorted Array,,71.9%,Easy,,https://leetcode.com/problems/squares-of-a-sorted-array/solution
,989. Add to Array-Form of Integer,,47.1%,Easy,,https://leetcode.com/problems/add-to-array-form-of-integer/solution
,993. Cousins in Binary Tree,,54.6%,Easy,,https://leetcode.com/problems/cousins-in-binary-tree/solution
,997. Find the Town Judge,,49.6%,Easy,,https://leetcode.com/problems/find-the-town-judge/solution
,1009. Complement of Base 10 Integer,,61.6%,Easy,,https://leetcode.com/problems/complement-of-base-10-integer/solution
,1064. Fixed Point,,64.2%,Easy,,https://leetcode.com/problems/fixed-point/solution
,1056. Confusing Number,,48.2%,Easy,,https://leetcode.com/problems/confusing-number/solution
,1086. High Five,,75.1%,Easy,,https://leetcode.com/problems/high-five/solution
,1065. Index Pairs of a String,,63.8%,Easy,,https://leetcode.com/problems/index-pairs-of-a-string/solution
,1022. Sum of Root To Leaf Binary Numbers,,73.6%,Easy,,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/solution
,1099. Two Sum Less Than K,,61.0%,Easy,,https://leetcode.com/problems/two-sum-less-than-k/solution
,1134. Armstrong Number,,77.8%,Easy,,https://leetcode.com/problems/armstrong-number/solution
,1133. Largest Unique Number,,67.6%,Easy,,https://leetcode.com/problems/largest-unique-number/solution
,1165. Single-Row Keyboard,,86.5%,Easy,,https://leetcode.com/problems/single-row-keyboard/solution
,1046. Last Stone Weight,,64.8%,Easy,,https://leetcode.com/problems/last-stone-weight/solution
,1047. Remove All Adjacent Duplicates In String,,69.7%,Easy,,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/solution
,1180. Count Substrings with Only One Distinct Letter,,79.0%,Easy,,https://leetcode.com/problems/count-substrings-with-only-one-distinct-letter/solution
,1196. How Many Apples Can You Put into the Basket,,66.9%,Easy,,https://leetcode.com/problems/how-many-apples-can-you-put-into-the-basket/solution
,1071. Greatest Common Divisor of Strings,,56.6%,Easy,,https://leetcode.com/problems/greatest-common-divisor-of-strings/solution
,1213. Intersection of Three Sorted Arrays,,79.9%,Easy,,https://leetcode.com/problems/intersection-of-three-sorted-arrays/solution
,1228. Missing Number In Arithmetic Progression,,51.5%,Easy,,https://leetcode.com/problems/missing-number-in-arithmetic-progression/solution
,1089. Duplicate Zeros,,51.5%,Easy,,https://leetcode.com/problems/duplicate-zeros/solution
,1137. N-th Tribonacci Number,,63.8%,Easy,,https://leetcode.com/problems/n-th-tribonacci-number/solution
,1189. Maximum Number of Balloons,,61.1%,Easy,,https://leetcode.com/problems/maximum-number-of-balloons/solution
,1200. Minimum Absolute Difference,,69.6%,Easy,,https://leetcode.com/problems/minimum-absolute-difference/solution
,1207. Unique Number of Occurrences,,73.5%,Easy,,https://leetcode.com/problems/unique-number-of-occurrences/solution
,1217. Minimum Cost to Move Chips to The Same Position,,71.9%,Easy,,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position/solution
,1427. Perform String Shifts,,54.3%,Easy,,https://leetcode.com/problems/perform-string-shifts/solution
,1260. Shift 2D Grid,,67.8%,Easy,,https://leetcode.com/problems/shift-2d-grid/solution
,1426. Counting Elements,,59.7%,Easy,,https://leetcode.com/problems/counting-elements/solution
,1275. Find Winner on a Tic Tac Toe Game,,54.2%,Easy,,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/solution
,1290. Convert Binary Number in a Linked List to Integer,,82.2%,Easy,,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/solution
,1342. Number of Steps to Reduce a Number to Zero,,85.2%,Easy,,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/solution
,1323. Maximum 69 Number,,82.1%,Easy,,https://leetcode.com/problems/maximum-69-number/solution
,1332. Remove Palindromic Subsequences,,76.2%,Easy,,https://leetcode.com/problems/remove-palindromic-subsequences/solution
,1337. The K Weakest Rows in a Matrix,,72.1%,Easy,,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/solution
,1379. Find a Corresponding Node of a Binary Tree in a Clone of That Tree,,86.7%,Easy,,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree/solution
,1394. Find Lucky Integer in an Array,,64.4%,Easy,,https://leetcode.com/problems/find-lucky-integer-in-an-array/solution
,1413. Minimum Value to Get Positive Step by Step Sum,,67.4%,Easy,,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum/solution
,1431. Kids With the Greatest Number of Candies,,87.3%,Easy,,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/solution
,1446. Consecutive Characters,,61.3%,Easy,,https://leetcode.com/problems/consecutive-characters/solution
,1437. Check If All 1's Are at Least Length K Places Away,,58.8%,Easy,,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/solution
,1470. Shuffle the Array,,89.0%,Easy,,https://leetcode.com/problems/shuffle-the-array/solution
,1480. Running Sum of 1d Array,,87.7%,Easy,,https://leetcode.com/problems/running-sum-of-1d-array/solution
,1474. Delete N Nodes After M Nodes of a Linked List,,73.4%,Easy,,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/solution
,1523. Count Odd Numbers in an Interval Range,,49.7%,Easy,,https://leetcode.com/problems/count-odd-numbers-in-an-interval-range/solution
,1539. Kth Missing Positive Number,,58.5%,Easy,,https://leetcode.com/problems/kth-missing-positive-number/solution
,1544. Make The String Great,,63.3%,Easy,,https://leetcode.com/problems/make-the-string-great/solution
,1588. Sum of All Odd Length Subarrays,,83.4%,Easy,,https://leetcode.com/problems/sum-of-all-odd-length-subarrays/solution
,1629. Slowest Key,,59.2%,Easy,,https://leetcode.com/problems/slowest-key/solution
,1640. Check Array Formation Through Concatenation,,56.2%,Easy,,https://leetcode.com/problems/check-array-formation-through-concatenation/solution
,1646. Get Maximum in Generated Array,,50.2%,Easy,,https://leetcode.com/problems/get-maximum-in-generated-array/solution
,1662. Check If Two String Arrays are Equivalent,,83.4%,Easy,,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/solution
,1672. Richest Customer Wealth,,87.9%,Easy,,https://leetcode.com/problems/richest-customer-wealth/solution
,1704. Determine if String Halves Are Alike,,77.8%,Easy,,https://leetcode.com/problems/determine-if-string-halves-are-alike/solution
,1710. Maximum Units on a Truck,,73.8%,Easy,,https://leetcode.com/problems/maximum-units-on-a-truck/solution
,1768. Merge Strings Alternately,,77.3%,Easy,,https://leetcode.com/problems/merge-strings-alternately/solution
,1832. Check if the Sentence Is Pangram,,83.6%,Easy,,https://leetcode.com/problems/check-if-the-sentence-is-pangram/solution
,1971. Find if Path Exists in Graph,,52.1%,Easy,,https://leetcode.com/problems/find-if-path-exists-in-graph/solution
,2389. Longest Subsequence With Limited Sum,,72.5%,Easy,,https://leetcode.com/problems/longest-subsequence-with-limited-sum/solution
,175. Combine Two Tables,,74.0%,Easy,,https://leetcode.com/problems/combine-two-tables/solution
,181. Employees Earning More Than Their Managers,,69.0%,Easy,,https://leetcode.com/problems/employees-earning-more-than-their-managers/solution
,182. Duplicate Emails,,70.8%,Easy,,https://leetcode.com/problems/duplicate-emails/solution
,183. Customers Who Never Order,,68.5%,Easy,,https://leetcode.com/problems/customers-who-never-order/solution
,196. Delete Duplicate Emails,,60.5%,Easy,,https://leetcode.com/problems/delete-duplicate-emails/solution
,197. Rising Temperature,,44.7%,Easy,,https://leetcode.com/problems/rising-temperature/solution
,577. Employee Bonus,,75.1%,Easy,,https://leetcode.com/problems/employee-bonus/solution
,584. Find Customer Referee,,69.4%,Easy,,https://leetcode.com/problems/find-customer-referee/solution
,586. Customer Placing the Largest Number of Orders,,69.4%,Easy,,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders/solution
,595. Big Countries,,70.7%,Easy,,https://leetcode.com/problems/big-countries/solution
,596. Classes More Than 5 Students,,47.9%,Easy,,https://leetcode.com/problems/classes-more-than-5-students/solution
,597. Friend Requests I: Overall Acceptance Rate,,42.5%,Easy,,https://leetcode.com/problems/friend-requests-i-overall-acceptance-rate/solution
,603. Consecutive Available Seats,,67.6%,Easy,,https://leetcode.com/problems/consecutive-available-seats/solution
,607. Sales Person,,69.6%,Easy,,https://leetcode.com/problems/sales-person/solution
,610. Triangle Judgement,,70.9%,Easy,,https://leetcode.com/problems/triangle-judgement/solution
,613. Shortest Distance in a Line,,81.0%,Easy,,https://leetcode.com/problems/shortest-distance-in-a-line/solution
,619. Biggest Single Number,,49.8%,Easy,,https://leetcode.com/problems/biggest-single-number/solution
,620. Not Boring Movies,,72.3%,Easy,,https://leetcode.com/problems/not-boring-movies/solution
,627. Swap Salary,,83.1%,Easy,,https://leetcode.com/problems/swap-salary/solution
,511. Game Play Analysis I,,76.1%,Easy,,https://leetcode.com/problems/game-play-analysis-i/solution
,512. Game Play Analysis II,,52.8%,Easy,,https://leetcode.com/problems/game-play-analysis-ii/solution
,1179. Reformat Department Table,,80.8%,Easy,,https://leetcode.com/problems/reformat-department-table/solution
,1114. Print in Order,,68.4%,Easy,,https://leetcode.com/problems/print-in-order/solution
